% Filename : LM_Channel_5200_mean_prof.dat 
% 
% Description : Profiles of the mean velocity and pressure 
% 
% Total number of data points  : 768
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mnlee@sandia.gov) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 10240 
%  Grid (wall-normal)      ny = 1536 
%  Grid (spanwise)         nz = 7680  
%  B-Spline order           n = 7 
%
%  Re_tau              Re_tau = 5185.897 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
%
% 
% Remark: 
% 
%      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
%      y^+     : Grid point in wall-normal direction 
%      U       : Mean profile of streamwise velocity 
%    dU/dy     : Derivative of U in wall-normal direction 
%      W       : Mean profile of spanwise velocity 
%      P       : Mean profile of pressure 
%      u'u'    : Variance of u 
%      v'v'    : Variance of v 
%      w'w'    : Variance of w 
%      u'v'    : Covariance of u and v 
%      u'w'    : Covariance of u and w 
%      v'w'    : Covariance of v and w 
%       k      : Turbulent kinetic energy, k = 0.5*(u'u' + v'v' + w'w')
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
%
% 
% *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_5200_mean_stdev.dat 
% 
% **  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% *** W should be zero due to (statistical) symmetries in the flow. 
%     It is reported here none-the-less as an indicator of the quality of the statistics.  
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                       U                      dU/dy                      W                        P                     u'u'                     v'v'                     w'w'                     u'v'                     u'w'                     v'w'                       k                     Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%-----------------------------------------------------------------------------------------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
    4.827733232894094e-03    2.503612800089970e+01    1.279207792113261e+01    1.435573512884620e-01   -2.096223285118976e-03   -6.785947895224976e-01    8.300388045770466e+00    6.779414392767986e-01    2.523823945789483e+00   -8.507915664417162e-01   -2.901030398326119e-04    1.264459422694173e-04    5.751076715418375e+00    1.222499638658197e-01   -2.153455359211616e-02   -1.459077534706115e-03    0.000000000000000e+00   -2.132703751350207e-04    9.906213284430068e-02   -1.907048043831017e-05
    5.046576563733418e-03    2.617102700602804e+01    1.294888970480265e+01    1.330014457527825e-01   -2.123915355720892e-03   -7.114490389807228e-01    8.168928776475868e+00    7.107706163724941e-01    2.553687959520301e+00   -8.611180880568381e-01   -2.331664597098643e-04    1.283029028628216e-04    5.716693676184331e+00    1.146370959957529e-01   -1.833315369053388e-02   -7.986545799007030e-04    0.000000000000000e+00    7.751307607584099e-05    9.560124778411523e-02   -1.844698272106260e-05
    5.269372021190488e-03    2.732642133330954e+01    1.309694798910353e+01    1.234802385140301e-01   -2.149965077223912e-03   -7.433577318525745e-01    8.037886474736958e+00    7.426558686505633e-01    2.580713371113931e+00   -8.704069837767786e-01   -1.760040986307750e-04    1.299790232357772e-04    5.680627857250727e+00    1.075798881963995e-01   -1.545061673942245e-02   -2.882177871026832e-04    0.000000000000000e+00    3.602923818111268e-04    9.221822511105324e-02   -1.687905936775813e-05
    5.496118720283327e-03    2.850230639331869e+01    1.323699280719256e+01    1.148854556401237e-01   -2.174509293237955e-03   -7.742522086622937e-01    7.908419776242297e+00    7.735284104182846e-01    2.605098567930690e+00   -8.787664224207077e-01   -1.188157532164105e-04    1.314740577408690e-04    5.643523377295635e+00    1.010541439438591e-01   -1.287454308149909e-02    1.009913921015762e-04    0.000000000000000e+00    6.272721141763488e-04    8.892279893733675e-02   -1.493456869883225e-05
    5.726815760335069e-03    2.969867751523788e+01    1.336970193869813e+01    1.071202312999398e-01   -2.197691239364576e-03   -8.040781663188686e-01    7.781459101631560e+00    8.033337910965686e-01    2.627031262275215e+00   -8.862931625551893e-01   -6.159866832994027e-05    1.327854927754824e-04    5.605912077501672e+00    9.503163959816471e-02   -1.058737249785518e-02    3.922653371839205e-04    0.000000000000000e+00    8.726977983933195e-04    8.572259226495364e-02   -1.336202906687678e-05
    5.961462224977065e-03    3.091552994687357e+01    1.349569571382857e+01    1.000980297951811e-01   -2.219649553791348e-03   -8.327944383370959e-01    7.657739610169936e+00    8.320307155921967e-01    2.646687641060484e+00   -8.930736364613010e-01   -4.385548020670487e-06    1.339182054411029e-04    5.568228983411309e+00    8.948189046867598e-02   -8.568041871551383e-03    6.045848088919867e-04    0.000000000000000e+00    1.092484206764866e-03    8.262349425644108e-02   -1.257664365963973e-05
    6.200057182153218e-03    3.215285885467869e+01    1.361554160994985e+01    9.374159010619285e-02   -2.240502437496483e-03   -8.603717941355875e-01    7.537829941178969e+00    8.595898232732729e-01    2.664231925767440e+00   -8.991850138251383e-01    5.257202524505077e-05    1.348831743390481e-04    5.530825845109840e+00    8.437349460094185e-02   -6.793508435570666e-03    7.534903392926214e-04    0.000000000000000e+00    1.284050384687567e-03    7.962981830870954e-02   -1.229141935815692e-05
    6.442599684123196e-03    3.341065932376937e+01    1.372975856205608e+01    8.798193168141810e-02   -2.260342015616027e-03   -8.867917803835711e-01    7.422157359969877e+00    8.859924574123358e-01    2.679816331771751e+00   -9.046962080251881e-01    1.088462687665697e-04    1.356955452843917e-04    5.493983074576983e+00    7.967508416175560e-02   -5.241039722606490e-03    8.522538070561374e-04    0.000000000000000e+00    1.446262386097026e-03    7.674461218560544e-02   -1.205155330316621e-05
    6.689088767466322e-03    3.468892635794506e+01    1.383882096092804e+01    8.275745255764098e-02   -2.279235449748484e-03   -9.120455606130111e-01    7.311029571153976e+00    9.112294730140451e-01    2.693581395650491e+00   -9.096687822491696e-01    1.639644720637876e-04    1.363800331554409e-04    5.457920219909257e+00    7.535593047852321e-02   -3.889691271767800e-03    9.123796578519573e-04    0.000000000000000e+00    1.579201522515939e-03    7.396980040958050e-02   -1.198002245721141e-05
    6.939523453085350e-03    3.598765487970814e+01    1.394316233842537e+01    7.801310700946791e-02   -2.297222935909639e-03   -9.361326875128736e-01    7.204653708107691e+00    9.353001117987210e-01    2.705656566128730e+00   -9.141577599417414e-01    2.175510460567554e-04    1.369730927763935e-04    5.422805193017570e+00    7.138633360027292e-02   -2.719277509651960e-03    9.427584814746655e-04    0.000000000000000e+00    1.683906307882875e-03    7.130591226979920e-02   -1.219138982071211e-05
    7.193902746210679e-03    3.730683973028578e+01    1.404317873009530e+01    7.369965964878393e-02   -2.314311675952324e-03   -9.590599179262564e-01    7.103153246878037e+00    9.582109536486160e-01    2.716160956863092e+00   -9.182123650198811e-01    2.693414343901728e-04    1.375192037639814e-04    5.388762578694872e+00    6.773789599120154e-02   -1.710114924804586e-03    9.500509285568813e-04    0.000000000000000e+00    1.762188170499186e-03    6.875216492423203e-02   -1.214475877901744e-05
    7.452225636403798e-03    3.864647566964779e+01    1.413923174283467e+01    6.977304554418615e-02   -2.330470860063951e-03   -9.808402465331686e-01    7.006582540676103e+00    9.799749647343293e-01    2.725204195414378e+00   -9.218766531004176e-01    3.191270276761307e-04    1.380520850440010e-04    5.355880850412405e+00    6.438383855839648e-02   -8.448420890383704e-04    9.400059022965205e-04    0.000000000000000e+00    1.816330563858939e-03    6.630698633902307e-02   -1.165340350951782e-05
    7.714491097561615e-03    4.000655737652908e+01    1.423165137242744e+01    6.619380474269274e-02   -2.345649133028497e-03   -1.001492112975630e+00    6.914938897619927e+00    1.000610632114332e+00    2.732887336513355e+00   -9.251900501843168e-01    3.668891342632240e-04    1.385537713175084e-04    5.324218433123807e+00    6.129926595614321e-02   -1.081919627093483e-04    9.173833215397793e-04    0.000000000000000e+00    1.848741228079828e-03    6.396828049415269e-02   -1.108195109920940e-05
